name,team,sim_pitcher_1,sim_score_1,sim_pitcher_2,sim_score_2,sim_pitcher_3,sim_score_3
Marcus Walden,Red Sox,Kenley Jansen,880,Justin Wilson,835,Chris Mazza,835
Tyler Duffey,Twins,Pierce Johnson,964,Joe Kelly,934,James Karinchak,893
Will Smith,Braves,Dellin Betances,963,Brad Hand,957,Garrett Richards,934
Brandon Workman,- - -,Anthony Misiewicz,836,Rowan Wick,803,Josh Tomlin,777
Jordan Montgomery,Yankees,Gio Gonzalez,947,Carson Fulmer,924,Chase Anderson,919
Brad Boxberger,Marlins,Steven Brault,967,Jesus Luzardo,962,Daniel Norris,957
Alex Cobb,Orioles,Buck Farmer,975,Ian Anderson,969,Kris Bubic,959
Austin Gomber,Cardinals,Max Fried,981,Humberto Mejia,980,Nick Pivetta,978
Carson Fulmer,- - -,Luke Weaver,969,Jacob Waguespack,961,Pablo Lopez,952
Chase Anderson,Blue Jays,Walker Lockett,959,Hyun-Jin Ryu,952,Merrill Kelly,940
Joe Musgrove,Pirates,Mike Clevinger,944,Shane Bieber,924,Max Scherzer,918
Joakim Soria,Athletics,Ross Detwiler,885,Liam Hendriks,883,Aaron Slegers,865
Josh Osich,- - -,Shawn Armstrong,963,Tommy Hunter,916,Kyle Ryan,893
Ryan Castellani,Rockies,Danny Duffy,981,Brady Lail,978,Derek Holland,978
Jacob Waguespack,Blue Jays,Jake Arrieta,971,Carson Fulmer,961,James Paxton,949
Kenley Jansen,Dodgers,Marcus Walden,880,Dan Winkler,835,Alex Colome,829
Aaron Nola,Phillies,Duane Underwood Jr.,978,Alex Wood,974,Jeff Hoffman,932
Derek Holland,Pirates,Ryan Castellani,978,Logan Allen,975,Kyle Wright,975
Kyle Gibson,Rangers,Luis Garcia,951,Max Scherzer,943,Humberto Castellanos,938
Stefan Crichton,Diamondbacks,Kevin Ginkel,900,Hector Rondon,899,Aaron Slegers,894
Cam Bedrosian,Angels,Tanner Houck,942,Frankie Montas,845,Aroldis Chapman,828
Cristian Javier,Astros,Michael Fulmer,977,Robert Gsellman,971,Spencer Turnbull,970
Chi Chi Gonzalez,Rockies,Dane Dunning,983,Bryse Wilson,975,Tarik Skubal,973
Cameron Hill,Indians,Phil Maton,974,Ryan Pressly,927,Scott Barlow,925
Jordan Lyles,Rangers,Joe Musgrove,912,Tanner Roark,909,Shane Bieber,908
Ivan Nova,Tigers,Archie Bradley,956,Jose Berrios,951,Jose Quintana,951
Danny Duffy,Royals,Ryan Castellani,981,Jason Adam,973,Wes Benjamin,969
Phillips Valdez,Red Sox,Devin Williams,953,Tony Watson,951,Pedro Baez,899
Craig Stammen,Padres,Zach Eflin,945,Eric Lauer,923,Chris Bassitt,910
Corey Oswalt,Mets,Jake Arrieta,968,Kolby Allard,942,Jacob Waguespack,935
Dylan Covey,Red Sox,Yusei Kikuchi,895,Ryan Tepera,877,Chris Martin,848
T.J. Zeuch,Blue Jays,Yimi Garcia,941,Aaron Loup,941,Jesse Chavez,937
Masahiro Tanaka,Yankees,Josh Lindblom,841,Jake Odorizzi,802,Jeff Samardzija,768
James Paxton,Yankees,Colin Rea,968,Jacob Waguespack,949,Daniel Ponce de Leon,936
Jaime Barria,Angels,Yency Almonte,977,Dennis Santana,966,Michael Pineda,959
Jonathan Holder,Yankees,Michael Lorenzen,904,Sean Manaea,893,Vince Velasquez,892
Mike Soroka,Braves,Taylor Hearn,973,Andrew Heaney,971,Dillon Tate,969
Jeffrey Springs,Red Sox,Jarlin Garcia,948,Raisel Iglesias,946,John Schreiber,911
Michael Pineda,Twins,Kyle Cody,982,Randy Dobnak,971,Cal Quantrill,966
Caleb Smith,- - -,Trevor Williams,995,Matthew Boyd,984,Jon Gray,977
Steven Brault,Pirates,Mike Minor,977,David Peterson,972,Brad Boxberger,967
Chris Mazza,Red Sox,Asher Wojciechowski,949,Jesse Chavez,925,Yimi Garcia,907
Aaron Loup,Rays,Yimi Garcia,973,Jesse Chavez,971,Erasmo Ramirez,954
David Peterson,Mets,Josh Fleming,975,Steven Brault,972,Matthew Boyd,972
Sam Howard,Pirates,Robert Stephenson,951,Tyler Kinley,944,Shaun Anderson,941
Shane Greene,Braves,Erick Fedde,903,Tyler Alexander,891,Asher Wojciechowski,887
Tanner Houck,Red Sox,Cam Bedrosian,942,Aroldis Chapman,886,Frankie Montas,881
Matt Shoemaker,Blue Jays,Tony Gonsolin,956,Shun Yamaguchi,930,Taijuan Walker,850
Jake Arrieta,Phillies,Jacob Waguespack,971,Corey Oswalt,968,Kolby Allard,949
Martin Perez,Red Sox,Hyun-Jin Ryu,950,Michael Wacha,927,Chase Anderson,924
Merrill Kelly,Diamondbacks,Cody Ponce,957,Walker Lockett,948,Marco Gonzales,945
Austin Voth,Nationals,Zack Wheeler,902,Nick Margevicius,810,Wilmer Font,784
Robert Dugger,Marlins,Conner Menez,993,Jack Flaherty,978,Jake Woodford,974
Deivi Garcia,Yankees,Keegan Akin,981,Alec Mills,978,Sean Newcomb,965
Justus Sheffield,Mariners,Randy Dobnak,988,Reynaldo Lopez,967,Luis Perdomo,964
Dane Dunning,White Sox,Chi Chi Gonzalez,983,Michael Fulmer,983,Bryse Wilson,973
Matt Wisler,Twins,Diego Castillo,875,Andrew Miller,849,Sam Selman,843
Cody Stashak,Twins,Brad Keller,979,Brady Singer,978,Paul Fry,975
Kyle Freeland,Rockies,Trevor Cahill,942,Zach Plesac,942,Dylan Bundy,940
